surface(m²),pieces,chambres,salles de bains,etat,etage,ans,ville,autre,prix(DHs),lienImage,lienArticle
74 m²,4 Pièces,2 Chambres,,Bon état,"3ème
					étage",10-20 ans,Sidi Maarouf à Casablanca,Terrasse Chambre rangement Façade extérieure Antenne parabolique Climatisation Porte blindée  Type du sol:  Carrelage  ,720000 DH,https://www.mubawab-media.com/ad/7/761/142F/h/1000023334_54196839.jpg,https://www.mubawab.ma/fr/a/7761142/bel-appartement-2-salons-2-chambres
65 m²,3 Pièces,2 Chambres,2 Salles de bains,Bon état,"5ème
					étage",5-10 ans,Route de Safi à Marrakech, Orientation:  Nord  Ascenseur  Type du sol:  Carrelage  ,430000 DH,https://www.mubawab-media.com/ad/7/761/787F/h/IMG-20230821-WA0005_54195416.jpg,https://www.mubawab.ma/fr/a/7761787/appartement-de-65-m-prix-sacrifi%C3%A9
109 m²,5 Pièces,3 Chambres,2 Salles de bains,Bon état,"5ème
					étage",5-10 ans,Mimosas à Kénitra, Orientation:  Sud  Garage Ascenseur Concierge Façade extérieure Salon Marocain Salon européen Antenne parabolique Climatisation Sécurité Cuisine équipée Four  Type du sol:  Carrelage  ,1150000 DH,https://www.mubawab-media.com/ad/7/761/781F/h/01_54195212.jpg,https://www.mubawab.ma/fr/a/7761781/bd-mohamed-v-plein-centre-ville
120 m²,8 Pièces,10 Chambres,8 Salles de bains,Bon état,,,Branes 2 à Tanger,Jardin Garage ,,https://www.mubawab-media.com/ad/7/761/780F/h/IMG_20230711_123236_54194694.jpg,https://www.mubawab.ma/fr/a/7761780/appartement-%C3%A0-l-achat-%C3%A0-branes-2-10-chambres-places-de-parking-et-beau-jardin-
76 m²,3 Pièces,2 Chambres,2 Salles de bains,Nouveau,"1er
					étage",,Sidi Moumen à Casablanca,Terrasse Garage Ascenseur Concierge Cuisine équipée Four  Type du sol:  Marbre  ,11000 DH,https://www.mubawab-media.com/ad/7/761/586F/h/IMG-0306%20%281%29_54194475.JPG,https://www.mubawab.ma/fr/a/7761586/des-appartement-haut-standing-a-sidi-moumen
184 m²,8 Pièces,4 Chambres,2 Salles de bains,Bon état,,5-10 ans,Hay Essalam à El Jadida,,660000 DH,https://www.mubawab-media.com/ad/7/734/792F/h/salon_51411574.jpg,https://www.mubawab.ma/fr/a/7734792/appartement-%C3%A0-vendre-sous-forme-duplex
90 m²,2 Pièces,2 Chambres,,Bon état,,10-20 ans,Riad Oulad Mtaa à Temara, Orientation:  Est  Façade extérieure Salon Marocain Antenne parabolique ,,https://www.mubawab-media.com/ad/7/761/753F/h/Screenshot_2023-08-15-20-32-06-483_com.miui.videoplayer_54191908.jpg,https://www.mubawab.ma/fr/a/7761753/appartement-%C3%A0-l-achat-%C3%A0-riad-oulad-mtaa-surface-totale-90-m%C2%B2-salon-traditionnel-et-syst%C3%A8me-d-antenne-parabolique-
79 m²,,2 Chambres,,Bon état,"3ème
					étage",,Asilah,Ascenseur Concierge Chambre rangement Meublé Salon Marocain Climatisation Cuisine équipée Réfrigérateur Four Machine à laver ,60000 EUR,https://www.mubawab-media.com/ad/7/518/802F/h/AE3C6B64-D408-423E-ACB5-9DA25BEB16FA_30523841.jpeg,https://www.mubawab.ma/fr/a/7518802/appartement-bon-%C3%A9tat
54 m²,3 Pièces,2 Chambres,,Nouveau,"2ème
					étage",,Boukhalef à Tanger, Orientation:  Ouest  Jardin Terrasse Ascenseur Vue sur les montagnes Concierge Façade extérieure Sécurité Porte blindée Réfrigérateur  Type du sol:  Carrelage  ,,https://www.mubawab-media.com/ad/7/708/476F/h/WhatsApp%20Image%202023-06-02%20%C3%A0%20diari%2013_48339030.jpg,https://www.mubawab.ma/fr/a/7708476/des-appartement-sociale-a-vendre-superficier-54-57
68 m²,6 Pièces,2 Chambres,,Bon état,"18ème
					étage",10-20 ans,Drissia à Tanger, Orientation:  Ouest  Salon Marocain  Type du sol:  Carrelage  ,460000 DH,https://www.mubawab-media.com/ad/7/761/694F/h/IMG_20200815_122449_54181563.jpg,https://www.mubawab.ma/fr/a/7761694/appartement-pr%C3%A9s-du-rond-point-dar-tounsi-2appart
130 m²,3 Pièces,4 Chambres,2 Salles de bains,Bon état,"1er
					étage",,Azrou,,5900000 DH,https://www.mubawab-media.com/ad/7/761/691F/h/photo_0_54179592.jpg,https://www.mubawab.ma/fr/a/7761691/appartement-en-vente-%C3%A0-azrou-surface-de-130-m%C2%B2-
120 m²,3 Pièces,3 Chambres,,Bon état,"5ème
					étage",10-20 ans,Zenata, Orientation:  Sud  Garage Ascenseur Concierge Façade extérieure Salon Marocain Salon européen Antenne parabolique Climatisation Sécurité  Type du sol:  Carrelage  ,1250000 DH,https://www.mubawab-media.com/assets/common/no-photo/m/no-photo.jpg,https://www.mubawab.ma/fr/a/7761665/bel-appartement-%C3%A0-vendre-3-pi%C3%A8ces-salon-marocain-et-antenne-parabolique
127 m²,5 Pièces,3 Chambres,2 Salles de bains,Nouveau,"3ème
					étage",1-5 ans,Sala el Jadida à Salé, Orientation:  Sud  Jardin Terrasse Garage Ascenseur Vue sur les montagnes Concierge Salon Marocain Salon européen Sécurité  Type du sol:  Carrelage  ,790000 DH,https://www.mubawab-media.com/ad/7/689/586F/h/sale2_46237929.jpg,https://www.mubawab.ma/fr/a/7689586/la-ljadida-appartement-neuf-127m-
90 m²,4 Pièces,2 Chambres,2 Salles de bains,Nouveau,"3ème
					étage",,Ferme Bretonne (Hay Arraha) à Casablanca, Orientation:  Ouest  Garage Ascenseur Concierge Chambre rangement Façade extérieure Salon européen Antenne parabolique Climatisation Sécurité  Type du sol:  Marbre  ,1800000 DH,https://www.mubawab-media.com/ad/7/761/638F/h/WhatsApp%20Image%202023-08-21%20at%2011.28.45%20%281%29_54170329.jpeg,https://www.mubawab.ma/fr/a/7761638/a-vendre-apt-neuf-hs-90m%C2%B2-laya-ocp
62 m²,3 Pièces,2 Chambres,,Bon état,"2ème
					étage",,Wifak à Temara,,420000 DH,https://www.mubawab-media.com/ad/7/761/622F/h/WhatsApp%20Image%202023-08-20%20at%2016.59.57_54165297.jpeg,https://www.mubawab.ma/fr/a/7761622/appartement-tr%C3%A8s-bon-%C3%A9tat-a-vendre
110 m²,4 Pièces,2 Chambres,2 Salles de bains,Nouveau,"2ème
					étage",,Amsernate à Agadir,Garage Ascenseur Cuisine équipée  Type du sol:  Carrelage  ,,https://www.mubawab-media.com/ad/7/323/906F/h/275072371_2925417144415993_6387547654976992993_n_19319570.jpg,https://www.mubawab.ma/fr/a/7323906/excellent-appartement-%C3%A0-vendre-hay-amsernat
132 m²,6 Pièces,3 Chambres,2 Salles de bains,Bon état,"3ème
					étage",5-10 ans,Narjis à Fès,,600000 DH,https://www.mubawab-media.com/ad/7/761/592F/h/56de5f21-050f-481e-a60e-c3cb45dfcff8_54157006.jpeg,https://www.mubawab.ma/fr/a/7761592/appartement-luxueux-%C3%A0-fes
60 m²,,,,Nouveau,"1er
					étage",1-5 ans,Martil, Orientation:  Est  Terrasse Ascenseur Meublé Salon Marocain Antenne parabolique Cuisine équipée Réfrigérateur Four Machine à laver  Type du sol:  Marbre  ,460000 DH,https://www.mubawab-media.com/ad/7/761/549F/h/photo_00_54563519.jpg,https://www.mubawab.ma/fr/a/7761549/vend-appartement-%C3%A0-m-diq-1-pi%C3%A8ce-grand-balcon-
80 m²,,,,Nouveau,"4ème
					étage",1-5 ans,Agdal à Rabat,Terrasse Garage Ascenseur Concierge Façade extérieure Climatisation Sécurité Cuisine équipée ,1400000 DH,https://www.mubawab-media.com/ad/7/761/508F/h/0c42d038-0b31-4aa4-95e5-0b4116098278_54143215.jpeg,https://www.mubawab.ma/fr/a/7761508/studio-a-vendre-sur-agdal
118 m²,2 Pièces,2 Chambres,2 Salles de bains,Bon état,"5ème
					étage",10-20 ans,Racine Extension à Casablanca, Orientation:  Nord  Terrasse Garage Ascenseur Concierge Antenne parabolique Climatisation Sécurité ,1500000 DH,https://www.mubawab-media.com/ad/7/761/472F/h/IMG-20230618-WA0008_54130229.jpg,https://www.mubawab.ma/fr/a/7761472/appartement-%C3%A0-vendre-%C3%A0-bourgogne-extension-racine
58 m²,,2 Chambres,,Bon état,"3ème
					étage",5-10 ans,Martil, Orientation:  Nord  Vue sur les montagnes Piscine Chambre rangement Meublé Façade extérieure Salon Marocain Salon européen Cuisine équipée Réfrigérateur Four Machine à laver  Type du sol:  Carrelage  ,,https://www.mubawab-media.com/ad/7/761/450F/h/20230820_173554_54127966.jpg,https://www.mubawab.ma/fr/a/7761450/appartement-meubl%C3%A9-ensoleill%C3%A9-%C3%A0-vendre
50 m²,,2 Chambres,,Bon état,"2ème
					étage",5-10 ans,Errahma,,300000 DH,https://www.mubawab-media.com/ad/7/761/438F/h/IMG-20230820-WA0005_54127858.jpg,https://www.mubawab.ma/fr/a/7761438/appartement-attawhid-a-vendre
60 m²,4 Pièces,3 Chambres,,Bon état,"2ème
					étage",5-10 ans,Saïdia, Orientation:  Sud  Concierge Antenne parabolique Climatisation Sécurité Cuisine équipée  Type du sol:  Carrelage  ,36000 EUR,https://www.mubawab-media.com/ad/7/761/404F/h/IMG-20230820-WA0013_54127732.jpg,https://www.mubawab.ma/fr/a/7761404/appartement-sa%C3%AFdia-titr%C3%A9-s%C3%A9curis%C3%A9-24-24
70 m²,3 Pièces,2 Chambres,,Nouveau,"1er
					étage",,Hay Toummert à Bouznika,Jardin Terrasse Garage Ascenseur Piscine Concierge Chambre rangement Façade extérieure Climatisation Cuisine équipée  Type du sol:  Marbre  ,1040000 DH,https://www.mubawab-media.com/ad/7/755/959F/h/photo_00_53386739.jpg,https://www.mubawab.ma/fr/a/7755959/appartement-%C3%A0-vendre-%C3%A0-bouznika-ps-loin-de-la-plage-avec-vue-sur-piscine
80 m²,,2 Chambres,2 Salles de bains,Nouveau,,,Msalla à Tétouan,Ascenseur  Type du sol:  Carrelage  ,590000 DH,https://www.mubawab-media.com/ad/7/747/389F/h/photo_0_52545467.png,https://www.mubawab.ma/fr/a/7747389/appartement-en-vente-%C3%A0-msalla-1-pi%C3%A8ce-
115 m²,,3 Chambres,2 Salles de bains,Nouveau,"6ème
					étage",,Mimosas à Kénitra, Orientation:  Sud  Terrasse Garage Ascenseur Façade extérieure Salon Marocain Salon européen Antenne parabolique Climatisation Chauffage central Sécurité Double vitrage Porte blindée Cuisine équipée Réfrigérateur Four Machine à laver  Type du sol:  Marbre  ,1300000 DH,https://www.mubawab-media.com/ad/7/742/114F/h/WhatsApp%20Image%202023-07-25%20at%207.28.21%20PM_52154308.jpeg,https://www.mubawab.ma/fr/a/7742114/appartement-luxueux-et-ensoleill%C3%A9-prix-n%C3%A9gociable
62 m²,3 Pièces,2 Chambres,,Bon état,"1er
					étage",10-20 ans,Hay Bensouda à Fès, Orientation:  Nord  Chambre rangement Façade extérieure Antenne parabolique Porte blindée Cuisine équipée  Type du sol:  Carrelage  ,420000 DH,https://www.mubawab-media.com/ad/7/735/825F/h/Chambre%202_52524597.jpeg,https://www.mubawab.ma/fr/a/7735825/bel-appartement-62m2-bensouda-bien-agenc%C3%A9
108 m²,4 Pièces,3 Chambres,2 Salles de bains,Bon état,"2ème
					étage",10-20 ans,Maârif Extension à Casablanca,Garage Ascenseur Concierge Four  Type du sol:  Carrelage  ,132000 USD,https://www.mubawab-media.com/ad/7/618/766F/h/7c9ff378-f7da-4fca-b610-c1258f873f25_39417625.jpg,https://www.mubawab.ma/fr/a/7618766/pret-a-occuper-location-strategique
100 m²,4 Pièces,3 Chambres,2 Salles de bains,Nouveau,"2ème
					étage",,Touilaa à Tétouan,,750000 DH,https://www.mubawab-media.com/ad/7/509/165F/h/photo_0_30274762.jpg,https://www.mubawab.ma/fr/a/7509165/%D8%B4%D9%82%D9%82-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%B1-%D8%A8%D9%88%D8%AC%D8%B1%D8%A7%D8%AD
100 m²,4 Pièces,3 Chambres,2 Salles de bains,Nouveau,"2ème
					étage",,Touilaa à Tétouan,,700000 DH,https://www.mubawab-media.com/ad/7/409/416F/h/photo_0_22409033.jpg,https://www.mubawab.ma/fr/a/7409416/%D8%B4%D9%82%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A8%D9%88%D8%B3%D8%A7%D9%81%D9%88-%D9%82%D8%B1%D8%A8-%D8%B3%D9%88%D9%82-%D8%A8%D9%88%D8%AC%D8%B1%D8%A7%D8%AD
118 m²,5 Pièces,3 Chambres,,Nouveau,"2ème
					étage",,Andalous à Oujda,,530000 DH,https://www.mubawab-media.com/ad/7/246/468F/h/photo_7_12084143.jpg,https://www.mubawab.ma/fr/a/7246468/vend-appartement-%C3%A0-andalous-4-pi%C3%A8ces-
120 m²,5 Pièces,3 Chambres,2 Salles de bains,Nouveau,"2ème
					étage",5-10 ans,Tamesna,Piscine Salon Marocain Antenne parabolique Cuisine équipée Réfrigérateur Four Machine à laver Micro-ondes  Type du sol:  Carrelage  ,700000 DH,https://www.mubawab-media.com/ad/7/246/392F/h/392B65B5-43B1-450A-8045-FD4043E092A1_12079355.jpeg,https://www.mubawab.ma/fr/a/7246392/bel-appartement-%C3%A0-prix-cass%C3%A9
53 m²,4 Pièces,2 Chambres,,Nouveau,"1er
					étage",5-10 ans,Bouskoura, Orientation:  Ouest  Concierge Antenne parabolique Sécurité  Type du sol:  Carrelage  ,340000 DH,https://www.mubawab-media.com/ad/7/761/373F/h/AA00_54127542.jpg,https://www.mubawab.ma/fr/a/7761373/appartement-en-premier-%C3%A9tage
130 m²,3 Pièces,2 Chambres,,Nouveau,"2ème
					étage",5-10 ans,Riad 2 à Mohammedia, Orientation:  Est  Terrasse Garage Chambre rangement Meublé Façade extérieure Salon Marocain Salon européen Antenne parabolique Climatisation Porte blindée Cuisine équipée Réfrigérateur Four Machine à laver Micro-ondes  Type du sol:  Carrelage  ,970000 DH,https://www.mubawab-media.com/ad/7/761/315F/h/IMG_0749_54127158.jpeg,https://www.mubawab.ma/fr/a/7761315/vendre-appartement-situ%C3%A9-%C3%A0-hay-nahda-quartier-calm
73 m²,2 Pièces,,2 Salles de bains,Bon état,"4ème
					étage",1-5 ans,Tilila à Agadir,Jardin Terrasse Garage Ascenseur Concierge Sécurité  Type du sol:  Carrelage  ,650000 DH,https://www.mubawab-media.com/ad/7/761/349F/h/image_54127379.jpg,https://www.mubawab.ma/fr/a/7761349/app-%C3%A0-tilila
93 m²,2 Pièces,,,Nouveau,"1er
					étage",5-10 ans,Route d'Agadir - Essaouira à Marrakech,Terrasse Garage Vue sur les montagnes Concierge Salon Marocain ,720000 DH,https://www.mubawab-media.com/ad/7/194/683F/h/Inkedimage5%20google_LI_9735976.jpg,https://www.mubawab.ma/fr/a/7194683/superbe-appartement-%C3%A0-vendre-%C3%A0-route-d-agadir-essaouira-2-pi%C3%A8ces-confortables-grand-balcon-
120 m²,3 Pièces,9 Chambres,3 Salles de bains,Nouveau,,,Ouarzazate,,240000 DH,https://www.mubawab-media.com/ad/7/194/684F/h/_____-_____%20%282%29_9735985.jpg,https://www.mubawab.ma/fr/a/7194684/appartement-%C3%A0-l-achat-%C3%A0-ouarzazate-3-grandes-pi%C3%A8ces-
145 m²,2 Pièces,,2 Salles de bains,Bon état,,1-5 ans,Sidi Rahal, Orientation:  Sud  Jardin Terrasse Garage Piscine Concierge Façade extérieure Antenne parabolique Cheminée Cuisine équipée Four  Type du sol:  Carrelage  ,950000 DH,https://www.mubawab-media.com/ad/7/761/306F/h/75348941_614423232631821_5983137370315161600_o_54127088.jpg,https://www.mubawab.ma/fr/a/7761306/joli-appartartement-jardin-sidi-rahal
85 m²,2 Pièces,2 Chambres,2 Salles de bains,Nouveau,"1er
					étage",1-5 ans,Centre ville à Oujda,Terrasse Garage Ascenseur Concierge Salon Marocain Salon européen Antenne parabolique Sécurité Double vitrage  Type du sol:  Carrelage  ,,https://www.mubawab-media.com/ad/7/761/272F/h/IMG_0743_54124435.jpeg,https://www.mubawab.ma/fr/a/7761272/appartements-%C3%A0-vendre-bd-med-5
80 m²,3 Pièces,2 Chambres,,Bon état,"2ème
					étage",10-20 ans,Hay Chmaou à Salé,,450000 DH,https://www.mubawab-media.com/ad/7/761/245F/h/photo_0_54123945.jpg,https://www.mubawab.ma/fr/a/7761245/appartement-en-vente-%C3%A0-hay-chmaou-2-chambres
100 m²,3 Pièces,3 Chambres,2 Salles de bains,Bon état,,,Hamria à Meknes,Jardin Ascenseur Concierge Façade extérieure Cuisine équipée ,640000 DH,https://www.mubawab-media.com/ad/7/761/258F/h/photo_0_54124121.jpg,https://www.mubawab.ma/fr/a/7761258/appartement-%C3%A0-l-achat-%C3%A0-hamria-3-grandes-pi%C3%A8ces-espaces-verts-et-ascenseur
56 m²,2 Pièces,2 Chambres,,Nouveau,"2ème
					étage",,Asilah, Orientation:  Est  Jardin Terrasse Ascenseur Vue sur les montagnes Concierge Façade extérieure Salon Marocain Antenne parabolique Sécurité Double vitrage Porte blindée Cuisine équipée  Type du sol:  Carrelage  ,430000 DH,https://www.mubawab-media.com/ad/7/761/216F/h/photo_00_54121274.jpg,https://www.mubawab.ma/fr/a/7761216/superbe-appartement-%C3%A0-vendre-%C3%A0-asilah-2-grandes-pi%C3%A8ces-terrasse-et-ascenseur-
60 m²,2 Pièces,3 Chambres,2 Salles de bains,Nouveau,"2ème
					étage",,Asilah, Orientation:  Est  Jardin Terrasse Ascenseur Concierge Façade extérieure Salon Marocain Antenne parabolique Cheminée Sécurité Double vitrage Porte blindée Cuisine équipée  Type du sol:  Marbre  ,420000 DH,https://www.mubawab-media.com/ad/7/761/213F/h/photo_00_54121071.jpg,https://www.mubawab.ma/fr/a/7761213/bel-appartement-%C3%A0-vendre-%C3%A0-asilah-3-chambres-salon-traditionnel-et-syst%C3%A8me-d-antenne-parabolique-
74 m²,3 Pièces,,2 Salles de bains,Bon état,"2ème
					étage",10-20 ans,Berrechid, Orientation:  Sud  Terrasse Chambre rangement Salon Marocain Salon européen Antenne parabolique Cheminée  Type du sol:  Carrelage  ,480000 DH,https://www.mubawab-media.com/ad/7/761/202F/h/1B1821BC-1771-465E-A8F5-00956E9B8F68_54119927.jpeg,https://www.mubawab.ma/fr/a/7761202/bel-appart-ensoleill%C3%A9-%C3%A0-s-rahal-chatii
70 m²,4 Pièces,2 Chambres,2 Salles de bains,Nouveau,"4ème
					étage",5-10 ans,Hay Assafaa à Casablanca, Orientation:  Est  Jardin Terrasse Concierge Chambre rangement Façade extérieure Salon Marocain Antenne parabolique Cuisine équipée  Type du sol:  Marbre  ,320000 DH,https://www.mubawab-media.com/ad/7/500/879F/h/IMG-20230813-WA0014_54118778.jpg,https://www.mubawab.ma/fr/a/7500879/appartement-70-m%C3%A8tre
60 m²,3 Pièces,2 Chambres,,Bon état,"4ème
					étage",10-20 ans,Route Casablanca à Marrakech, Orientation:  Sud  Ascenseur Antenne parabolique Climatisation Sécurité  Type du sol:  Carrelage  ,320000 DH,https://www.mubawab-media.com/ad/7/761/193F/h/Av_iN1Xes.1_11_Original_54118007.jpeg,https://www.mubawab.ma/fr/a/7761193/apparemment-%C3%A0-al-fadl-marrakech-60-m2
80 m²,2 Pièces,2 Chambres,,Nouveau,"4ème
					étage",1-5 ans,Ain Atig à Temara, Orientation:  Est  Terrasse Garage Ascenseur Façade extérieure Salon Marocain Antenne parabolique Cuisine équipée Four  Type du sol:  Carrelage  ,580000 DH,https://www.mubawab-media.com/ad/7/759/767F/h/photo_0_59877870.jpg,https://www.mubawab.ma/fr/a/7759767/appartement-%C3%A0-l-achat-%C3%A0-ain-atig-2-chambres-salon-traditionnel-et-syst%C3%A8me-d-antenne-parabolique-
120 m²,4 Pièces,2 Chambres,,Nouveau,,,Centre ville à El Jadida,Vue sur mer Meublé Façade extérieure Salon Marocain Salon européen Antenne parabolique Climatisation Chauffage central Sécurité Double vitrage Porte blindée Cuisine équipée Réfrigérateur Four Machine à laver Micro-ondes ,,https://www.mubawab-media.com/ad/7/761/135F/h/10102859523_54103548.jpg,https://www.mubawab.ma/fr/a/7761135/appartement-%C3%A0-el-jadida-dans-le-centre-ville
120 m²,4 Pièces,2 Chambres,,Nouveau,,,Centre ville à El Jadida,Vue sur mer Meublé Façade extérieure Salon Marocain Salon européen Antenne parabolique Chauffage central Sécurité Double vitrage Porte blindée Cuisine équipée Réfrigérateur Four Machine à laver Micro-ondes ,,https://www.mubawab-media.com/ad/7/761/133F/h/35183_54103122.jpg,https://www.mubawab.ma/fr/a/7761133/appartement-%C3%A0-el-jadida-%C3%A0-c%C3%B4t%C3%A9-de-centre-ville
120 m²,7 Pièces,3 Chambres,2 Salles de bains,Bon état,"2ème
					étage",5-10 ans,Dar Bouazza,Terrasse Vue sur mer  Type du sol:  Carrelage  ,1250000 DH,https://www.mubawab-media.com/ad/6/709/337F/h/IMG_2063.JPG,https://www.mubawab.ma/fr/a/6709337/appartement-duplexe-a-vendre-vue-sur-mer
